image_index,mse,annotation
1,0.34612215,correct
2,1.5117319,correct
3,1.4947441,correct
4,1.0807159,correct
5,0.67076313,correct
6,22.979717,incorrect
7,0.74687314,correct
8,0.39025825,correct
9,0.92622846,correct
10,0.63597405,correct
11,0.47827724,correct
12,1303.9304,incorrect
13,0.68902373,correct
14,0.60055447,correct
15,0.928282,correct
16,1.8594191,correct
17,0.3749018,correct
18,62.209038,incorrect
19,0.7835878,correct
20,0.49621055,correct
21,0.3412106,correct
22,1.0985258,correct
23,0.6261615,correct
24,2.9580393,correct
25,0.4634276,correct
26,1.0046054,correct
27,0.508265,correct
28,0.9485507,correct
29,0.2105057,correct
30,0.68496597,correct
31,1.3316846,correct
32,0.5772917,correct
33,1.6148615,correct
34,1.3813819,correct
35,0.5132372,correct
36,0.90781945,correct
37,0.50154674,correct
38,1.1109016,correct
39,0.4732608,correct
40,0.5958736,correct
41,1376.5354,incorrect
42,1.2506278,correct
43,0.38157082,correct
44,0.24685377,correct
45,0.75863755,correct
46,0.93879265,correct
47,0.7992296,correct
48,970.29913,incorrect
49,0.90549743,correct
50,0.88548917,correct
51,0.33672753,correct
52,664.5315,incorrect
53,1400.4335,incorrect
54,0.614502,correct
55,0.991725,correct
56,0.34363225,correct
57,0.6704862,correct
58,0.8784549,correct
59,0.4228541,correct
60,0.33241794,correct
61,0.3527183,correct
62,1099.9512,incorrect
63,1.6391578,correct
64,0.73678654,correct
65,1.0858476,correct
66,0.68811727,correct
67,0.48380512,correct
68,1.518944,correct
69,438.2672,incorrect
70,0.97732866,correct
71,0.5946686,correct
72,0.49071896,correct
73,1.1897906,correct
74,0.83107615,correct
75,0.50904155,correct
76,0.57270426,correct
77,0.7594086,correct
78,0.54104704,correct
79,0.9058982,correct
80,0.43110994,correct
81,0.65399325,correct
82,0.8611461,correct
83,0.5395213,correct
84,0.38904822,correct
85,1.8789902,correct
86,0.670018,correct
87,0.4585334,correct
88,341.42505,incorrect
89,0.81549037,correct
90,0.5849736,correct
91,0.69701993,correct
92,0.35845244,correct
93,1.1650872,correct
94,444.1742,incorrect
95,0.34525126,correct
96,0.57663465,correct
97,1.1451902,correct
98,0.7400924,correct
99,0.59419894,correct
100,0.74763215,correct
101,1.355551,correct
102,0.4461242,correct
103,1234.6008,incorrect
104,2.5945907,correct
105,1.350262,correct
106,0.48117128,correct
107,0.5156762,correct
108,0.73560977,correct
109,0.74446833,correct
110,0.9655014,correct
111,0.9931576,correct
112,0.51664305,correct
113,1.3460901,correct
114,1.3453147,correct
115,0.6878625,correct
116,0.45090425,correct
117,0.9050459,correct
118,0.3083551,correct
119,0.9299972,correct
120,1.5690618,correct
121,0.30088186,correct
122,0.30491847,correct
123,1.2505847,correct
124,0.5087695,correct
125,1.7084308,correct
126,1.0979922,correct
127,1.1921455,correct
128,0.2738526,correct
129,0.75283504,correct
130,757.06555,incorrect
131,0.58449423,correct
132,0.5969957,correct
133,0.8791754,correct
134,0.5375694,correct
135,0.5649588,correct
136,0.5900185,correct
137,1.1200616,correct
138,0.2672909,correct
139,0.23623957,correct
140,0.34553152,correct
141,0.74745405,correct
142,1.1843274,correct
143,1.110842,correct
144,1.4013703,correct
145,0.8205615,correct
146,0.5723266,correct
147,1.0886909,correct
148,0.7421155,correct
149,0.9601251,correct
150,0.4558314,correct
151,0.6448398,correct
152,0.9714036,correct
153,0.28324804,correct
154,1.1853027,correct
155,0.5845193,correct
156,3922.4612,incorrect
157,0.5786914,correct
158,2.7302127,correct
159,2557.0884,incorrect
160,0.46994343,correct
161,0.907783,correct
162,1.6871803,correct
163,5.3965526,incorrect
164,0.70142156,correct
165,0.65464354,correct
166,0.58136636,correct
167,0.7130151,correct
168,0.61278796,correct
169,0.31365985,correct
170,1.2398348,correct
171,0.3779913,correct
172,0.7569852,correct
173,0.6055965,correct
174,0.74554914,correct
175,1.1043955,correct
176,0.60669094,correct
177,2213.9976,incorrect
178,0.94434386,correct
179,0.45639545,correct
180,0.6899133,correct
181,0.55439484,correct
182,96.71968,incorrect
183,1.011322,correct
184,0.8007711,correct
185,0.70624447,correct
186,0.27403292,correct
187,0.4480893,correct
188,0.61249214,correct
189,0.38389736,correct
190,1.1288608,correct
191,38.28681,incorrect
192,0.7801593,correct
193,0.9964584,correct
