image_index,mse,annotation
1,0.591872,correct
2,0.65151525,correct
3,0.5955184,correct
4,761.2186,incorrect
5,1.0356514,correct
6,0.5659989,correct
7,0.8671924,correct
8,0.82232213,correct
9,0.48812878,correct
10,0.4748829,correct
11,0.59453446,correct
12,0.517074,correct
13,0.5937221,correct
14,1.2890708,correct
15,0.38847336,correct
16,0.5147787,correct
17,0.6323433,correct
18,0.6583059,correct
19,0.9019139,correct
20,1.2172266,correct
21,2.5823689,correct
22,0.82500756,correct
23,0.6241189,correct
24,0.96367764,correct
25,1.9307152,correct
26,388.34158,incorrect
27,1587.1283,incorrect
28,0.8680581,correct
29,0.37089372,correct
30,0.5561021,correct
31,0.85900235,correct
32,0.6598128,correct
33,0.6929315,correct
34,0.47784618,correct
35,0.6291176,correct
36,0.4316789,correct
37,98.621376,incorrect
38,0.53332454,correct
39,0.5237407,correct
40,0.60247475,correct
41,0.44163406,correct
42,1.0459602,correct
43,1.1673795,correct
44,0.8610292,correct
45,1.0115738,correct
46,1.3919524,correct
47,0.32066935,correct
48,193.02977,incorrect
49,0.7326081,correct
50,0.69562346,correct
51,0.77119946,correct
52,0.70787334,correct
53,0.5002628,correct
54,0.3532305,correct
55,0.5420159,correct
56,0.6867278,correct
57,0.66332585,correct
58,0.3805316,correct
59,0.60841334,correct
60,0.8525193,correct
61,2.8597167,correct
62,0.12490856,correct
63,0.61074036,correct
64,0.8533401,correct
65,0.5103722,correct
66,1.1032959,correct
67,1.1674793,correct
68,0.3753671,correct
69,0.31122416,correct
70,0.44017422,correct
71,166.47495,incorrect
72,0.5376985,correct
73,0.5409996,correct
74,0.6679324,correct
75,0.9591261,correct
76,0.6260112,correct
77,0.18401952,correct
78,0.34482798,correct
79,0.50547165,correct
80,1.8449208,correct
81,0.8475598,correct
82,0.95212936,correct
83,0.7262675,correct
84,0.40022293,correct
85,0.858992,correct
86,0.75662464,correct
87,0.71291083,correct
88,1.244665,correct
89,0.7322955,correct
90,0.61319876,correct
91,0.6415591,correct
92,0.33314836,correct
93,0.807504,correct
94,0.90278935,correct
95,1.0221008,correct
96,1.7082514,correct
97,0.16891885,correct
98,0.19621629,correct
99,0.44634348,correct
100,0.88039416,correct
101,0.6026174,correct
102,2.3114727,correct
103,0.4736452,correct
104,0.6988165,correct
105,0.45589107,correct
106,1.1502676,correct
107,0.44586867,correct
108,0.9782778,correct
109,187.02519,incorrect
110,0.23547055,correct
111,1.3154848,correct
112,0.42174995,correct
113,0.499889,correct
114,0.5445311,correct
115,0.35518613,correct
116,0.63019645,correct
117,0.48782733,correct
118,1.3437815,correct
119,0.53409576,correct
120,0.78481895,correct
121,0.8201275,correct
122,0.8070607,correct
123,2.1301064,correct
124,0.7230269,correct
125,0.3925276,correct
126,0.748213,correct
127,1.2511938,correct
128,1.1523144,correct
129,0.37002695,correct
130,0.6522813,correct
131,0.9721683,correct
132,0.8443761,correct
133,1.3583922,correct
134,0.29212037,correct
135,0.5264113,correct
136,0.35724378,correct
137,0.7289331,correct
138,1294.7468,incorrect
139,0.83973527,correct
140,3.8815799,correct
141,0.87460065,correct
142,0.46802524,correct
143,0.6541154,correct
144,0.73910105,correct
145,0.43052918,correct
146,0.612779,correct
147,0.95023185,correct
148,0.836926,correct
149,0.4649412,correct
150,0.24456711,correct
151,0.6822854,correct
152,0.3091326,correct
153,0.7805184,correct
154,1.0408093,correct
155,0.8601589,correct
156,0.70015574,correct
157,0.73982865,correct
158,736.996,incorrect
159,0.47934082,correct
160,0.7212497,correct
161,1788.3047,incorrect
162,1.054992,correct
163,0.74348676,correct
164,0.8237828,correct
165,0.8689674,correct
166,1.024048,correct
167,0.41381103,correct
168,0.72639,correct
169,1.0159376,correct
170,0.33034223,correct
171,0.8272475,correct
172,4.934141,correct
173,78.839554,incorrect
174,0.6332396,correct
175,0.5129083,correct
176,0.20990717,correct
177,1.6464269,correct
178,572.28827,incorrect
179,214.41093,incorrect
180,1.3915846,correct
181,0.92174065,correct
182,0.4946329,correct
183,1.7439368,correct
184,0.9104997,correct
185,0.4573775,correct
186,0.25678962,correct
187,1.852588,correct
188,0.5365231,correct
189,0.5833998,correct
190,0.44797146,correct
191,183.98254,incorrect
192,0.34461161,correct
193,0.35679302,correct
194,1.6690146,correct
195,0.87279636,correct
196,0.50278354,correct
197,0.46837455,correct
198,0.9351795,correct
